Year,Team,Total Salaries,Total Salaries (Cap/Tax)
2015,New York Knicks,73449788,73862667
2014,New York Knicks,80629628,80937143
2013,New York Knicks,88277907,87505461
2012,New York Knicks,78854599,79416811
2011,New York Knicks,61370415,50975336
2010,New York Knicks,44321107,44321107
2016,Oklahoma City Thunder,86969117,86969117
2015,Oklahoma City Thunder,98957818,99087680
2014,Oklahoma City Thunder,78791633,79093199
2013,Oklahoma City Thunder,70696313,70893705
2012,Oklahoma City Thunder,68257854,68125239
2011,Oklahoma City Thunder,61831253,51191896
2010,Oklahoma City Thunder,59087679,52587679
2016,Orlando Magic,106243101,106243101
2015,Orlando Magic,65540336,65608480
2014,Orlando Magic,56016975,56016975
2013,Orlando Magic,53516731,75725767
2012,Orlando Magic,66215396,65362046
2011,Orlando Magic,69266121,54846132
2010,Orlando Magic,88497177,88106193
2016,Philadelphia 76ers,77527693,77547262
2015,Philadelphia 76ers,62424777,62753076
2014,Philadelphia 76ers,56923056,56314896
2013,Philadelphia 76ers,53780843,53530843
2012,Philadelphia 76ers,64367073,64854627
2011,Philadelphia 76ers,64767225,53881299
2010,Philadelphia 76ers,49431213,49431213
2016,Phoenix Suns,80863334,80863334
2015,Phoenix Suns,73443637,74047458
2014,Phoenix Suns,60237268,67688966
2013,Phoenix Suns,53785384,61028498
2012,Phoenix Suns,53234902,60232694
2011,Phoenix Suns,64909904,54742177
2010,Phoenix Suns,66852030,66602030
2016,Portland Trail Blazers,112823448,112823448
2015,Portland Trail Blazers,62486866,62486866
2014,Portland Trail Blazers,72994755,68122339
2013,Portland Trail Blazers,62699372,59721086
2012,Portland Trail Blazers,58379149,55920149
2011,Portland Trail Blazers,66140347,54123443
2010,Portland Trail Blazers,67426713,62492131
2016,Sacramento Kings,96210260,96545277
2015,Sacramento Kings,72671296,72671296
2014,Sacramento Kings,74176743,74719927
2013,Sacramento Kings,62881623,62996524
2012,Sacramento Kings,53575342,53575342
2011,Sacramento Kings,36652311,30523614
2010,Sacramento Kings,40838272,40838272
2016,San Antonio Spurs,107976810,107643477
2015,San Antonio Spurs,87594996,87378454
2014,San Antonio Spurs,70379233,70096575
2013,San Antonio Spurs,63379810,63023485
2012,San Antonio Spurs,69568331,69199187
2011,San Antonio Spurs,73774561,60813695
2010,San Antonio Spurs,68510097,68510097
2016,Toronto Raptors,106727969,106727969
2015,Toronto Raptors,72314887,71748665
2014,Toronto Raptors,76096523,75562364
2013,Toronto Raptors,68635923,68635923
2012,Toronto Raptors,68081026,68858326
2011,Toronto Raptors,53148082,44474277
2010,Toronto Raptors,54280455,54280455
2016,Utah Jazz,80498192,79438192
2015,Utah Jazz,64817873,64257873
2014,Utah Jazz,58905618,58613364
2013,Utah Jazz,57426670,57426670
2012,Utah Jazz,66913862,65513862
2011,Utah Jazz,58183391,46368779
2010,Utah Jazz,89274682,88249548
2016,Washington Wizards,103285007,103620024
2015,Washington Wizards,85238838,84310368
2014,Washington Wizards,73502681,74590100
2013,Washington Wizards,70301084,70999638
2012,Washington Wizards,58601257,59566109
2011,Washington Wizards,68146670,55823185
2010,Washington Wizards,42102042,42102042
